id,pname,gender,fname,canonical_fname,oname,born_on_year,begin_on_year,begin_on_month,begin_on_day,end_on_year,end_on_month,end_on_day,nationality,sheet,is_higher_official,is_core_section,second_nationality,age,age_group
1780,Alfredo Blanco,Male,Vice President,Vice President,International Anti-Opium Association,1877,1925,,,1936,,,Spanish,lonsea_all,False,False,,48,40-50
5183,Ali Chaygan,Male,Temporary Collaborator,LoN First Division,Information,,1934,9,7,1934,9,28,Persian,core_only,False,True,,,
5086,Ali Riza Turel,Male,Temporary Collaborator,LoN First Division,Information,,1935,9,5,1935,9,26,Turkish,core_only,False,True,,,
9986,Alice Eugénie Dumontier,Female,Shorthand Typist,LoN Second Division,Disarmament,1893,1926,7,12,1929,5,4,French,core_only,False,True,,33,30-40
9986,Alice Eugénie Dumontier,Female,Shorthand Typist,LoN Second Division,Financial  & Economic Intelligence Service,1893,1945,6,28,1946,7,31,French,core_only,False,True,,52,50-60
9986,Alice Eugénie Dumontier,Female,Shorthand Typist,LoN Second Division,Legal,1893,1929,5,6,1933,12,31,French,core_only,False,True,,36,30-40
9986,Alice Eugénie Dumontier,Female,Shorthand Typist,LoN Second Division,Pool,1893,1934,1,1,1940,5,17,French,core_only,False,False,,41,40-50
9986,Alice Eugénie Dumontier,Female,Shorthand Typist,LoN Second Division,Pool,1893,1945,4,16,1945,6,27,French,core_only,False,False,,52,50-60
9986,Alice Eugénie Dumontier,Female,Shorthand Typist,LoN Second Division,Pool,1893,1946,8,1,1946,10,31,French,core_only,False,False,,53,50-60
10500,Alice Florentine Torriani née Goulley,Female,Secretary Shorthand-Typist,LoN Second Division,Intellectual Cooperation and International Bureaux,1896,1931,1,1,1940,11,30,Swiss,core_only,False,True,,35,30-40
10500,Alice Florentine Torriani née Goulley,Female,Shorthand Typist,LoN Second Division,Intellectual Cooperation and International Bureaux,1896,1929,3,1,1930,12,31,Swiss,core_only,False,True,,33,30-40
10500,Alice Florentine Torriani née Goulley,Female,Shorthand Typist,LoN Second Division,Pool,1896,1920,12,3,1929,2,28,Swiss,core_only,False,False,,24,20-30
11437,Alice Hemmeler,Female,Assistant,LoN Second Division,Pool,1901,1925,5,4,1925,6,17,Swiss,core_only,False,False,,24,20-30
11437,Alice Hemmeler,Female,Clerk,LoN Second Division,Distribution of Documents,1901,1925,9,1,1925,9,26,Swiss,core_only,False,False,,24,20-30
11437,Alice Hemmeler,Female,Clerk,LoN Second Division,Economic and Financial,1901,1929,9,1,1929,10,7,Swiss,core_only,False,True,,28,20-30
10110,Alice Kummerli,Female,Clerk,LoN Second Division,Health,1887,1926,1,1,1940,1,31,Swiss,core_only,False,True,,39,30-40
10110,Alice Kummerli,Female,Shorthand Typist,LoN Second Division,Health,1887,1925,4,1,1926,1,1,Swiss,core_only,False,True,,38,30-40
10110,Alice Kummerli,Female,Shorthand Typist,LoN Second Division,Pool,1887,1924,4,15,1924,4,1,Swiss,core_only,False,False,,37,30-40
11194,Alice Leonard Leith,Female,Senior Assistant,LoN First Division,Information,1886,1919,9,1,1925,4,30,British,core_only,False,True,,33,30-40
10010,Alice Sack,Female,Nurse,LoN Third Division,Health,1902,1936,6,8,1936,7,11,Swiss,core_only,False,True,,34,30-40
10010,Alice Sack,Female,Nurse,LoN Third Division,Health,1902,1936,9,21,1936,10,10,Swiss,core_only,False,True,,34,30-40
10010,Alice Sack,Female,Nurse,LoN Third Division,Health,1902,1937,5,26,1937,5,29,Swiss,core_only,False,True,,35,30-40
10010,Alice Sack,Female,Nurse,LoN Third Division,Health,1902,1937,7,7,1937,8,3,Swiss,core_only,False,True,,35,30-40
10010,Alice Sack,Female,Nurse,LoN Third Division,Health,1902,1937,9,13,1937,10,6,Swiss,core_only,False,True,,35,30-40
10697,Aline Alexandre,Female,Bilingual Shorthand-Typist,LoN Second Division,Health,1889,1926,8,18,1927,5,1,French,core_only,False,True,,37,30-40
10697,Aline Alexandre,Female,Bilingual Shorthand-Typist,LoN Second Division,Legal,1889,1922,11,1,1922,12,31,French,core_only,False,True,,33,30-40
10697,Aline Alexandre,Female,Bilingual Shorthand-Typist,LoN Second Division,Pool,1889,1922,1,1,1922,10,31,French,core_only,False,False,,33,30-40
10697,Aline Alexandre,Female,Bilingual Shorthand-Typist,LoN Second Division,Pool,1889,1923,1,1,1926,8,18,French,core_only,False,False,,34,30-40
10697,Aline Alexandre,Female,Bilingual Shorthand-Typist,LoN Second Division,Pool,1889,1927,5,1,1934,9,30,French,core_only,False,False,,38,30-40
10697,Aline Alexandre,Female,Shorthand Typist,LoN Second Division,Pool,1889,1920,10,27,1922,1,1,French,core_only,False,False,,31,30-40
10677,Aline Wertheimer,Female,Clerk,LoN Second Division,Disarmament,,1925,4,23,1925,9,6,,core_only,False,True,,,
5435,Aljos Derso,Male,Temporary Collaborator,LoN First Division,Information,1888,1933,4,5,1933,6,5,Hungarian,core_only,False,True,,45,40-50
10161,Alma Janet Schibli née Raisin,Female,Shorthand Typist,LoN Second Division,Legal,1899,1921,12,1,1926,12,31,Swiss,core_only,False,True,,22,20-30
10161,Alma Janet Schibli née Raisin,Female,Shorthand Typist,LoN Second Division,Personnel Office,1899,1945,5,7,1945,7,4,Swiss,core_only,False,False,,46,40-50
10161,Alma Janet Schibli née Raisin,Female,Shorthand Typist,LoN Second Division,Pool,1899,1920,5,7,1921,11,30,Swiss,core_only,False,False,,21,20-30
10161,Alma Janet Schibli née Raisin,Female,Shorthand Typist,LoN Second Division,Pool,1899,1945,7,5,1946,7,31,Swiss,core_only,False,False,,46,40-50
10161,Alma Janet Schibli née Raisin,Female,Shorthand Typist,LoN Second Division,Secretary-General's Office,1899,1946,8,1,1946,12,31,Swiss,core_only,False,False,,47,40-50
10161,Alma Janet Schibli née Raisin,Female,Shorthand Typist,LoN Second Division,Treasury,1899,1947,1,1,1947,7,31,Swiss,core_only,False,False,,48,40-50
10068,Alois Kral,Male,Assistant,LoN Second Division,Economic and Financial,1902,1931,1,16,1931,10,15,Czech,core_only,False,True,,29,20-30
5145,Amulya Chandra Chatterjee,Male,Member of Section,LoN First Division,Information,1879,1929,7,23,1934,10,15,Indian,core_only,False,True,,50,40-50
5145,Amulya Chandra Chatterjee,Male,Member of Section,LoN First Division,Political,1879,1934,10,15,1935,2,7,Indian,core_only,False,True,,55,50-60
12117,Anastasie Besson,,Bilingual Shorthand-Typist,LoN Second Division,Health,1893,1922,9,,1925,5,21,French,core_only,False,True,,29,20-30
12117,Anastasie Besson,,Bilingual Shorthand-Typist,LoN Second Division,Pool,1893,1919,12,15,1922,9,,French,core_only,False,False,,26,20-30
13405,André  de Gall,Male,Temporary Collaborator,LoN First Division,Information,,1935,9,5,,,,Hungarian,core_only,False,True,,,
11830,André Boccon-Gibod,Male,Assistant,LoN Second Division,Economic and Financial,1905,1929,8,15,1929,8,30,French,core_only,False,True,,24,20-30
9672,André Charles Piguet,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1913,1937,1,28,1939,12,31,Swiss,core_only,False,True,,24,20-30
5056,André D. Toledano,Male,General Secretary,Secretary General,International Centre for Synthesis,1888,1929,,,,,,French,lonsea_all,False,False,,41,40-50
5056,André D. Toledano,Male,Member of Section,LoN First Division,Information,1888,1919,8,8,1924,12,31,French,core_only,False,True,,31,30-40
5056,André D. Toledano,Male,Member of Section,LoN First Division,Précis-Writing Department,1888,1921,2,,1924,12,31,French,core_only,False,False,,33,30-40
12447,André Ganem,Male,Correspondent,LoN Second Division,Paris Office,1891,1929,1,9,1930,1,1,French,core_only,False,False,,38,30-40
12447,André Ganem,Male,Member of Section,LoN First Division,Information,1891,1930,1,1,1940,7,31,French,core_only,False,True,,39,30-40
10535,André Jean Vacheron,Male,Clerk,LoN Second Division,Financial  & Economic Intelligence Service,1909,1936,2,12,1936,9,30,Swiss,core_only,False,True,,27,20-30
5106,André Sayous,Male,Member of Section,LoN First Division,Economic and Financial,,1920,4,24,1920,12,31,French,core_only,False,True,,,
10497,André de Tomiloff,Male,Clerk,LoN Second Division,Health,1905,1927,3,4,1927,4,4,Swiss,core_only,False,True,,22,20-30
5357,Andrée Marie Colin,Female,Member of Section,LoN First Division,Social Questions and Opium Traffic,1884,1924,8,1,1941,8,11,Belgian,core_only,False,True,,40,30-40
5137,Angel Maria Cespedes,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Third Ordinary Session of the Assembly,1892,,,,,,,,lonsea_all,False,False,,,
5137,Angel Maria Cespedes,Male,Member of Section,LoN First Division,Administrative and Minorities,1892,1925,3,9,1940,8,31,Colombian,core_only,False,True,,33,30-40
4917,Anna Nowak,Female,Temporary Collaborator,LoN First Division,Information,,1933,9,23,1933,10,14,Austrian,core_only,False,True,,,
4960,Anna Teresa Paradas,Female,Member of Section,LoN First Division,Information,,1929,5,,1932,12,31,Dominican,core_only,False,True,,,
10499,Anna de Torok,Female,Senior Assistant,LoN First Division,Financial  & Economic Intelligence Service,1890,1926,3,6,1939,7,31,Austrian,core_only,False,True,,36,30-40
11344,Annie Kathleen Brown,Female,Clerical Assistant,LoN Second Division,Financial  & Economic Intelligence Service,1896,1919,8,18,1940,11,30,British,core_only,False,True,,23,20-30
4954,Annikki Paasikivi,Female,Temporary Collaborator,LoN First Division,Information,,1934,1,15,1934,12,31,Finish,core_only,False,True,,,
5432,Antoine Charles Pierre Denis,Male,Expert/Specialist,LoN First Division,Financial  & Economic Intelligence Service,1883,1932,4,18,1932,10,8,French,core_only,False,True,,49,40-50
5432,Antoine Charles Pierre Denis,Male,Member of Section,LoN First Division,Deputy Secretary-General's Office,1883,1921,9,,1926,12,31,French,core_only,False,False,,38,30-40
5432,Antoine Charles Pierre Denis,Male,Member of Section,LoN First Division,Political,1883,1920,9,5,1921,9,,French,core_only,False,True,,37,30-40
5526,Antoine Favre,Male,Temporary Collaborator,LoN First Division,Information,,1931,8,31,1931,9,20,Swiss,core_only,False,True,,,
4905,Antonii Nicoloff,Male,Temporary Collaborator,LoN First Division,Information,,1935,9,5,1935,9,26,Bulgarian,core_only,False,True,,,
5501,Antonio Maria  Godinho,Male,Temporary Collaborator,LoN First Division,Information,,1932,9,19,1932,10,10,Portugese,core_only,False,True,,,
4953,Anwar Iqbal Qureshi,Male,Temporary Collaborator,LoN First Division,Economic and Financial,1910,1939,3,13,1939,6,12,Indian,core_only,False,True,,29,20-30
4984,Ap. Apostolopoulos,Male,Temporary Collaborator,LoN First Division,Information,,1932,9,19,1932,10,10,Greek,core_only,False,True,,,
5342,Armando Maribona,Male,Temporary Collaborator,LoN First Division,Information,,1926,9,2,1926,11,13,Cuban,core_only,False,True,,,
5362,Armando Mencia,Male,Member of Section,LoN First Division,Legal,1903,1927,8,31,1934,5,13,Cuban,core_only,False,True,,24,20-30
5352,Armi Inkeri Hallstein-Kallia,Female,Member of Section,LoN First Division,Intellectual Cooperation and International Bureaux,1897,1926,6,15,1936,6,15,Finish,core_only,False,True,,29,20-30
8742,Arne  Giverholt,Male,Assistant,LoN Second Division,Information,1882,1925,4,1,1925,9,30,Norwegian,core_only,False,True,,43,40-50
8742,Arne  Giverholt,Male,Assistant,LoN Second Division,Information,1882,1933,2,16,1933,4,5,Norwegian,core_only,False,True,,51,50-60
8742,Arne  Giverholt,Male,Assistant,LoN Second Division,Information,1882,1933,4,26,1933,6,10,Norwegian,core_only,False,True,,51,50-60
5164,Arnold Cartwell Smith,Male,Temporary Collaborator,LoN First Division,Information,,1938,9,10,1938,10,1,Canadian,core_only,False,True,,,
5334,Arnold Herman van Ittersum,Male,Member of Section,LoN First Division,Legal,1893,1921,3,15,1935,9,7,Dutch,core_only,False,True,,28,20-30
5160,Arnolds Skrebers,Male,Temporary Collaborator,LoN First Division,Information,,1936,9,17,1936,10,15,Latvian,core_only,False,True,,,
5324,Arthur Bullard,Male,Member of Section,LoN First Division,Information,,1926,2,1,1927,2,1,US-American,core_only,False,True,,,
5527,Arthur Elliott Felkin,Male,Member of Section,LoN First Division,Economic and Financial,,1923,1,15,,,,British,core_only,False,True,,,
5527,Arthur Elliott Felkin,Male,Member of Section,LoN First Division,Social Questions and Opium Traffic,,1938,7,1,1946,8,31,British,core_only,False,True,,,
4289,Arthur Sweetser,Male,Acting Director,LoN First Division,Information,1888,1933,,,1933,,,US-American,core_only,False,True,,45,40-50
4289,Arthur Sweetser,Male,Chairman,President,United Nations Information Board,1888,1942,,,1946,,,US-American,core_only,False,False,,54,50-60
4289,Arthur Sweetser,Male,Counsellor,LoN Second Division,Information,1888,1930,,,1930,,,US-American,core_only,False,True,,42,40-50
4289,Arthur Sweetser,Male,Director,LoN First Division,League of Nations,1888,1933,,,1942,12,31,US-American,core_only,False,False,,45,40-50
4289,Arthur Sweetser,Male,Member,Member,Geneva Research Centre,1888,,,,,,,US-American,lonsea_all,False,False,,,
4289,Arthur Sweetser,Male,Member of Section,LoN First Division,Information,1888,1919,9,7,1942,12,31,US-American,core_only,False,True,,31,30-40
4289,Arthur Sweetser,Male,Vice Chairman,Vice President,Geneva Research Centre,1888,,,,,,,US-American,lonsea_all,False,False,,,
5142,Arthur Szyk,Male,Temporary Collaborator,LoN First Division,Information,,1938,8,31,1938,9,21,,core_only,False,True,,,
4982,Artur Maciel,Male,Temporary Collaborator,LoN First Division,Information,,1935,9,5,1935,9,26,Portugese,core_only,False,True,,,
5080,Artur Tupits,Male,Temporary Collaborator,LoN First Division,Information,,,,,,,,Estonian,core_only,False,True,,,
4951,Arturo Uslar-Pietri,Male,Temporary Collaborator,LoN First Division,Information,,,,,,,,Venezuelan,core_only,False,True,,,
5438,Atam Anand Sharar Dewan,Male,Temporary Collaborator,LoN First Division,Information,,1937,9,23,1937,9,30,Indian,core_only,False,True,,,
10052,Auguste Jacot,Male,Statistical Assistant,LoN Second Division,Health,1895,1925,2,5,1925,10,31,British,core_only,False,True,Swiss,30,20-30
5170,Aurobindo Bose,Male,Temporary Collaborator,LoN First Division,Information,1892,1939,1,9,1939,2,19,Indian,core_only,False,True,,47,40-50
5278,Awni Khalidy,Male,Temporary Collaborator,LoN First Division,Information,1911,1937,10,8,1937,11,18,Iraqi,core_only,False,True,,26,20-30
5144,Axel Serup,Male,Temporary Collaborator,LoN First Division,Information,,1935,9,5,1935,9,26,Dane,core_only,False,True,,,
8415,Barbara Naomi Abensur,Female,Shorthand Typist,LoN Second Division,Information,1901,1923,2,5,1924,3,5,British,core_only,False,True,,22,20-30
8415,Barbara Naomi Abensur,Female,Shorthand Typist,LoN Second Division,Intellectual Cooperation and International Bureaux,1901,1926,1,28,1929,2,28,British,core_only,False,True,,25,20-30
8415,Barbara Naomi Abensur,Female,Shorthand Typist,LoN Second Division,Library,1901,1934,6,16,1939,10,30,British,core_only,False,False,,33,30-40
8415,Barbara Naomi Abensur,Female,Shorthand Typist,LoN Second Division,Pool,1901,1921,8,30,1922,9,30,British,core_only,False,False,,20,14-20
8415,Barbara Naomi Abensur,Female,Shorthand Typist,LoN Second Division,Pool,1901,1924,3,5,1926,1,27,British,core_only,False,False,,23,20-30
8415,Barbara Naomi Abensur,Female,Shorthand Typist,LoN Second Division,Secretary-General's Office,1901,1929,3,1,1934,6,16,British,core_only,False,False,,28,20-30
10285,Beatrice Kate Snell,Female,Secretary Shorthand-Typist,LoN Second Division,Economic and Financial,1886,1920,9,1,1927,8,31,British,core_only,False,True,,34,30-40
10285,Beatrice Kate Snell,Female,Secretary Stenographer,LoN Second Division,Treasury,1886,1937,1,1,1939,4,15,British,core_only,False,False,,51,50-60
10285,Beatrice Kate Snell,Female,Shorthand Typist,LoN Second Division,Pool,1886,1942,6,15,1942,7,31,British,core_only,False,False,,56,50-60
10285,Beatrice Kate Snell,Female,Shorthand Typist,LoN Second Division,Treasury,1886,1927,9,1,1936,12,31,British,core_only,False,False,,41,40-50
5517,Bela Zolnai,Male,Temporary Collaborator,LoN First Division,Information,,1931,8,31,1931,9,21,Hungarian,core_only,False,True,,,
10742,Belle Williams,Female,Assistant Secretary,LoN Second Division,Secretary-General's Office,1897,1921,8,5,1924,4,30,British,core_only,False,False,,24,20-30
10742,Belle Williams,Female,Secretary Stenographer,LoN Second Division,Political,1897,1919,9,8,1921,1,6,British,core_only,False,True,,22,20-30
10742,Belle Williams,Female,Secretary Stenographer,LoN Second Division,Pool,1897,1921,1,7,1921,8,4,British,core_only,False,False,,24,20-30
5490,Benedetto Gentile,Male,Member of Section,LoN First Division,Legal,1908,1931,7,6,1934,12,31,Italian,core_only,False,True,,23,20-30
5447,Bengt Helger,Male,Expert/Specialist,LoN First Division,Financial  & Economic Intelligence Service,,1938,1,24,1939,3,28,Swedish,core_only,False,True,,,
11237,Benoît Leon-Dufour,Male,Member of Section,LoN First Division,Economic and Financial,1881,,,,,,,French,core_only,False,True,,,
5029,Bergadini,Male,Temporary Collaborator,LoN First Division,Information,,1929,8,26,1929,9,14,Italian,core_only,False,True,,,
5494,Berit Gulliksen,Female,Temporary Collaborator,LoN First Division,Information,,1933,9,21,1933,10,12,Norwegian,core_only,False,True,,,
11688,Bernard Borel,Male,Copyholder,LoN Second Division,Financial  & Economic Intelligence Service,1911,1931,2,11,1939,12,31,Swiss,core_only,False,True,,20,14-20
5379,Berta  Hamilton,Female,Temporary Collaborator,LoN First Division,Information,,1930,9,1,1930,9,22,Canadian,core_only,False,True,,,
5224,Berthe de Lalieux de la Rocq,Female,Temporary Collaborator,LoN First Division,Information,,1931,8,31,1931,9,21,,core_only,False,True,,,
5483,Bertil Arne Renborg,Male,Chief of Section,LoN First Division,Social Questions and Opium Traffic,,1939,11,1,1946,8,31,Swedish,core_only,False,True,,,
4922,Bertil Gotthard Ohlin,Male,League of Nations General Assembly Delegate,Representative,General Assembly: Nineteenth Ordinary Session of the Assembly,,,,,,,,Swedish,lonsea_all,False,False,,,
